DIRECTORY;cvc4_cbqi;cvc4_default;cvc4_fmf;cvc4_tplanes;cvc4_tplanes_cbqi;cvc4_tplanes_fmf
BENCHMARK;STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s]
partial-int_check_bvsle_bvlshr0_ltr.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvsle_bvlshr0_rtl.smt2;ok;1;0;1;337.19;ok;1;0;1;57.39;mo;0;0;0;1044.87;ok;1;0;1;58.66;ok;1;0;1;342.66;mo;0;0;0;1057.97
partial-int_check_bvsle_bvlshr1_ltr.smt2;to;0;0;0;10800.09;ok;0;0;0;97.95;mo;0;0;0;1329.21;ok;0;0;0;122.82;to;0;0;0;10800.1;mo;0;0;0;1316.25
partial-int_check_bvsle_bvlshr1_rtl.smt2;ok;1;0;1;3203.55;ok;1;0;1;589.38;mo;0;0;0;2694.48;ok;1;0;1;588.43;ok;1;0;1;3212.94;mo;0;0;0;2677.5
partial-int_check_bvsle_bvmul_ltr.smt2;mo;0;0;0;5490.65;mo;0;0;0;4256.33;mo;0;0;0;4492.84;mo;0;0;0;4186.8;mo;0;0;0;5453.22;mo;0;0;0;4493.79
partial-int_check_bvsle_bvmul_rtl.smt2;ok;1;0;1;0.99;ok;1;0;1;0.24;mo;0;0;0;2594.96;ok;1;0;1;0.3;ok;1;0;1;1.0;mo;0;0;0;2585.7
partial-int_check_bvsle_bvneg_ltr.smt2;ok;1;0;1;530.18;ok;1;0;1;0.98;mo;0;0;0;912.4;ok;1;0;1;0.99;ok;1;0;1;534.66;mo;0;0;0;889.82
partial-int_check_bvsle_bvneg_rtl.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvsle_bvnot_ltr.smt2;ok;1;0;1;46.79;ok;1;0;1;0.83;mo;0;0;0;4007.41;ok;1;0;1;0.76;ok;1;0;1;46.28;mo;0;0;0;4040.35
partial-int_check_bvsle_bvnot_rtl.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvsle_bvor_ltr.smt2;to;0;0;0;10800.04;to;0;0;0;10800.1;to;0;0;0;10800.16;to;0;0;0;10800.01;to;0;0;0;10800.01;to;0;0;0;10800.21
partial-int_check_bvsle_bvor_rtl.smt2;to;0;0;0;10800.06;ok;0;0;0;0.78;to;0;0;0;10800.12;ok;0;0;0;0.76;to;0;0;0;10800.04;to;0;0;0;10800.1
partial-int_check_bvsle_bvshl0_ltr.smt2;to;0;0;0;10800.03;mo;0;0;0;1578.13;mo;0;0;0;2931.62;mo;0;0;0;1602.12;to;0;0;0;10800.07;mo;0;0;0;3003.2
partial-int_check_bvsle_bvshl0_rtl.smt2;to;0;0;0;10800.09;ok;1;0;1;1279.79;mo;0;0;0;6746.91;ok;1;0;1;1272.35;to;0;0;0;10800.1;mo;0;0;0;10028.17
partial-int_check_bvsle_bvshl1_ltr.smt2;to;0;0;0;10800.14;to;0;0;0;10800.11;to;0;0;0;10800.11;to;0;0;0;10800.14;to;0;0;0;10800.13;to;0;0;0;10800.13
partial-int_check_bvsle_bvshl1_rtl.smt2;to;0;0;0;10800.06;ok;1;0;1;156.33;mo;0;0;0;2702.1;ok;1;0;1;154.5;to;0;0;0;10800.07;mo;0;0;0;2597.17
partial-int_check_bvsle_bvudiv0_ltr.smt2;to;0;0;0;10800.1;ok;1;0;1;304.01;mo;0;0;0;3259.86;ok;1;0;1;305.36;to;0;0;0;10800.08;mo;0;0;0;3301.49
partial-int_check_bvsle_bvudiv0_rtl.smt2;ok;1;0;1;307.16;ok;1;0;1;88.31;mo;0;0;0;2767.72;ok;1;0;1;89.99;ok;1;0;1;312.86;mo;0;0;0;2638.91
partial-int_check_bvsle_bvudiv1_ltr.smt2;to;0;0;0;10800.06;mo;0;0;0;7058.95;mo;0;0;0;7469.34;mo;0;0;0;6939.3;to;0;0;0;10800.08;mo;0;0;0;10093.35
partial-int_check_bvsle_bvudiv1_rtl.smt2;ok;1;0;1;637.08;ok;1;0;1;52.72;to;0;0;0;10800.12;ok;1;0;1;51.58;ok;1;0;1;633.46;to;0;0;0;10800.14
partial-int_check_bvsle_bvurem0_ltr.smt2;to;0;0;0;10800.05;ok;0;0;0;0.28;to;0;0;0;10800.17;ok;0;0;0;0.32;to;0;0;0;10800.04;to;0;0;0;10800.13
partial-int_check_bvsle_bvurem0_rtl.smt2;to;0;0;0;10800.04;ok;0;0;0;1.56;mo;0;0;0;3638.7;ok;0;0;0;1.51;to;0;0;0;10798.49;mo;0;0;0;3647.49
partial-int_check_bvsle_bvurem1_ltr.smt2;to;0;0;0;10800.09;ok;1;0;1;17.5;mo;0;0;0;4493.33;ok;1;0;1;18.17;to;0;0;0;10800.1;mo;0;0;0;4485.12
partial-int_check_bvsle_bvurem1_rtl.smt2;ok;1;0;1;18.5;ok;1;0;1;4.4;mo;0;0;0;2637.86;ok;1;0;1;4.4;ok;1;0;1;18.68;mo;0;0;0;2652.18
partial-int_check_bvslt_bvadd_ltr.smt2;to;0;0;0;10800.05;to;0;0;0;10800.01;mo;0;0;0;735.25;to;0;0;0;10800.19;to;0;0;0;10800.01;mo;0;0;0;738.75
partial-int_check_bvslt_bvadd_rtl.smt2;ok;1;0;1;23.78;ok;1;0;1;7.71;mo;0;0;0;769.51;ok;1;0;1;7.67;ok;1;0;1;23.2;mo;0;0;0;754.3
partial-int_check_bvslt_bvand_ltr.smt2;to;0;0;0;10800.03;ok;0;0;0;1.26;mo;0;0;0;3962.08;ok;0;0;0;1.29;to;0;0;0;10772.86;mo;0;0;0;3929.81
partial-int_check_bvslt_bvand_rtl.smt2;to;0;0;0;10800.07;ok;0;0;0;0.6;to;0;0;0;10800.19;ok;0;0;0;0.62;to;0;0;0;10800.08;to;0;0;0;10800.1
partial-int_check_bvslt_bvashr0_ltr.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvslt_bvashr0_rtl.smt2;to;0;0;0;10800.16;to;0;0;0;10800.02;mo;0;0;0;2600.25;to;0;0;0;10800.04;to;0;0;0;10800.15;mo;0;0;0;2660.79
partial-int_check_bvslt_bvashr1_ltr.smt2;to;0;0;0;10800.05;to;0;0;0;10759.16;mo;0;0;0;6553.59;to;0;0;0;10800.1;to;0;0;0;10800.03;mo;0;0;0;6824.88
partial-int_check_bvslt_bvashr1_rtl.smt2;ok;1;0;1;66.99;ok;1;0;1;7.61;mo;0;0;0;2642.6;ok;1;0;1;7.74;ok;1;0;1;65.91;mo;0;0;0;2638.61
partial-int_check_bvslt_bvlshr0_ltr.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvslt_bvlshr0_rtl.smt2;ok;1;0;1;683.37;ok;1;0;1;59.18;mo;0;0;0;2682.62;ok;1;0;1;60.64;ok;1;0;1;676.16;mo;0;0;0;2633.17
partial-int_check_bvslt_bvlshr1_ltr.smt2;to;0;0;0;10800.06;ok;0;0;0;98.08;to;0;0;0;10800.03;ok;0;0;0;100.55;to;0;0;0;10800.02;to;0;0;0;10800.15
partial-int_check_bvslt_bvlshr1_rtl.smt2;ok;1;0;1;263.76;ok;1;0;1;50.71;mo;0;0;0;2413.66;ok;1;0;1;49.67;ok;1;0;1;263.04;mo;0;0;0;2593.31
partial-int_check_bvslt_bvmul_ltr.smt2;mo;0;0;0;2423.15;to;0;0;0;10800.12;mo;0;0;0;2848.85;to;0;0;0;10800.14;mo;0;0;0;2422.75;mo;0;0;0;3160.93
partial-int_check_bvslt_bvmul_rtl.smt2;to;0;0;0;10800.02;ok;0;0;0;0.89;mo;0;0;0;3299.1;ok;0;0;0;0.83;to;0;0;0;10800.09;mo;0;0;0;3238.72
partial-int_check_bvslt_bvneg_ltr.smt2;ok;1;0;1;302.32;ok;1;0;1;59.9;mo;0;0;0;3210.29;ok;1;0;1;58.91;ok;1;0;1;304.93;mo;0;0;0;3223.96
partial-int_check_bvslt_bvneg_rtl.smt2;ok;1;0;1;32.78;ok;1;0;1;8.94;mo;0;0;0;738.57;ok;1;0;1;9.25;ok;1;0;1;32.64;mo;0;0;0;726.1
partial-int_check_bvslt_bvnot_ltr.smt2;ok;1;0;1;169.78;ok;1;0;1;16.51;mo;0;0;0;3025.32;ok;1;0;1;16.5;ok;1;0;1;170.32;mo;0;0;0;3833.92
partial-int_check_bvslt_bvnot_rtl.smt2;ok;1;0;1;4.67;ok;1;0;1;0.91;mo;0;0;0;2685.59;ok;1;0;1;0.88;ok;1;0;1;4.71;mo;0;0;0;2648.32
partial-int_check_bvslt_bvor_ltr.smt2;to;0;0;0;10800.09;ok;0;0;0;0.77;to;0;0;0;10800.14;ok;0;0;0;0.81;to;0;0;0;10800.07;to;0;0;0;10800.13
partial-int_check_bvslt_bvor_rtl.smt2;to;0;0;0;10800.02;ok;0;0;0;0.58;mo;0;0;0;2986.37;ok;0;0;0;0.6;to;0;0;0;10800.07;mo;0;0;0;3864.25
partial-int_check_bvslt_bvshl0_ltr.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvslt_bvshl0_rtl.smt2;mo;0;0;0;5678.84;ok;0;0;0;51.6;mo;0;0;0;2666.66;ok;0;0;0;49.9;mo;0;0;0;5637.73;mo;0;0;0;2647.57
partial-int_check_bvslt_bvshl1_ltr.smt2;mo;0;0;0;1953.63;to;0;0;0;10800.04;mo;0;0;0;3192.38;to;0;0;0;10800.01;mo;0;0;0;1966.74;mo;0;0;0;3201.96
partial-int_check_bvslt_bvshl1_rtl.smt2;to;0;0;0;10800.03;to;0;0;0;10800.07;mo;0;0;0;1037.9;to;0;0;0;10800.04;to;0;0;0;10800.01;mo;0;0;0;1008.67
partial-int_check_bvslt_bvudiv0_ltr.smt2;to;0;0;0;10800.06;ok;1;0;1;153.53;mo;0;0;0;3991.23;ok;1;0;1;152.86;to;0;0;0;10800.08;mo;0;0;0;3926.0
partial-int_check_bvslt_bvudiv0_rtl.smt2;ok;1;0;1;60.46;ok;1;0;1;19.88;mo;0;0;0;2565.89;ok;1;0;1;20.41;ok;1;0;1;59.96;mo;0;0;0;2624.85
partial-int_check_bvslt_bvudiv1_ltr.smt2;to;0;0;0;10800.04;to;0;0;0;10800.03;mo;0;0;0;8284.28;to;0;0;0;10800.08;to;0;0;0;10800.04;mo;0;0;0;8425.25
partial-int_check_bvslt_bvudiv1_rtl.smt2;to;0;0;0;10800.08;ok;1;0;1;20.51;mo;0;0;0;2341.69;ok;1;0;1;19.78;to;0;0;0;10800.1;mo;0;0;0;2609.55
partial-int_check_bvslt_bvurem0_ltr.smt2;to;0;0;0;10800.05;ok;0;0;0;12.16;to;0;0;0;10800.11;ok;0;0;0;11.71;to;0;0;0;10734.87;to;0;0;0;10800.16
partial-int_check_bvslt_bvurem0_rtl.smt2;to;0;0;0;10800.08;ok;0;0;0;3.61;mo;0;0;0;3070.71;ok;0;0;0;3.64;to;0;0;0;10800.02;mo;0;0;0;3907.8
partial-int_check_bvslt_bvurem1_ltr.smt2;ok;1;0;1;8140.3;ok;1;0;1;5.43;mo;0;0;0;4452.14;ok;1;0;1;5.36;ok;1;0;1;8114.62;mo;0;0;0;4488.57
partial-int_check_bvslt_bvurem1_rtl.smt2;ok;1;0;1;29.96;ok;1;0;1;4.27;mo;0;0;0;7306.71;ok;1;0;1;4.16;ok;1;0;1;30.96;mo;0;0;0;8852.78
partial-int_check_bvuge_bvadd_ltr.smt2;ok;1;0;1;1.93;ok;1;0;1;0.18;mo;0;0;0;3283.05;ok;1;0;1;0.16;ok;1;0;1;1.99;mo;0;0;0;3206.81
partial-int_check_bvuge_bvadd_rtl.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvuge_bvand_ltr.smt2;to;0;0;0;10800.07;ok;0;0;0;0.14;mo;0;0;0;4502.04;ok;0;0;0;0.16;to;0;0;0;10800.03;mo;0;0;0;4469.51
partial-int_check_bvuge_bvand_rtl.smt2;to;0;0;0;10800.06;ok;0;0;0;23.28;mo;0;0;0;3045.79;ok;0;0;0;23.84;to;0;0;0;10800.02;mo;0;0;0;3438.56
partial-int_check_bvuge_bvashr0_ltr.smt2;ok;1;0;1;544.85;ok;1;0;1;237.18;mo;0;0;0;3276.61;ok;1;0;1;238.08;ok;1;0;1;541.81;mo;0;0;0;3316.17
partial-int_check_bvuge_bvashr0_rtl.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvuge_bvashr1_ltr.smt2;to;0;0;0;10800.07;ok;0;0;0;0.54;to;0;0;0;10800.02;ok;0;0;0;0.48;to;0;0;0;10794.06;to;0;0;0;10747.54
partial-int_check_bvuge_bvashr1_rtl.smt2;ok;1;0;1;7.92;ok;1;0;1;2.91;mo;0;0;0;2719.28;ok;1;0;1;2.89;ok;1;0;1;8.11;mo;0;0;0;2655.03
partial-int_check_bvuge_bvlshr0_ltr.smt2;to;0;0;0;10800.01;ok;1;0;1;133.05;mo;0;0;0;3226.32;ok;1;0;1;135.66;to;0;0;0;10800.08;mo;0;0;0;3068.78
partial-int_check_bvuge_bvlshr0_rtl.smt2;to;0;0;0;10800.07;ok;1;0;1;53.8;mo;0;0;0;2690.9;ok;1;0;1;54.77;to;0;0;0;10800.04;mo;0;0;0;2715.87
partial-int_check_bvuge_bvlshr1_ltr.smt2;ok;1;0;1;1.86;ok;1;0;1;0.16;mo;0;0;0;3288.7;ok;1;0;1;0.21;ok;1;0;1;1.94;mo;0;0;0;3163.64
partial-int_check_bvuge_bvlshr1_rtl.smt2;ok;1;0;1;6.69;ok;1;0;1;1.68;mo;0;0;0;2347.12;ok;1;0;1;1.56;ok;1;0;1;6.69;mo;0;0;0;2629.68
partial-int_check_bvuge_bvmul_ltr.smt2;mo;0;0;0;965.42;mo;0;0;0;826.6;mo;0;0;0;2923.82;mo;0;0;0;831.4;mo;0;0;0;967.21;mo;0;0;0;3128.64
partial-int_check_bvuge_bvmul_rtl.smt2;to;0;0;0;10800.06;ok;0;0;0;1.38;mo;0;0;0;3912.61;ok;0;0;0;1.43;to;0;0;0;10800.06;mo;0;0;0;3893.04
partial-int_check_bvuge_bvneg_ltr.smt2;ok;1;0;1;3.44;ok;1;0;1;0.3;mo;0;0;0;3306.86;ok;1;0;1;0.29;ok;1;0;1;3.43;mo;0;0;0;3157.1
partial-int_check_bvuge_bvneg_rtl.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvuge_bvnot_ltr.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvuge_bvnot_rtl.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvuge_bvor_ltr.smt2;to;0;0;0;10800.09;ok;0;0;0;0.07;to;0;0;0;10800.18;ok;0;0;0;0.09;to;0;0;0;10800.02;to;0;0;0;10800.1
partial-int_check_bvuge_bvor_rtl.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvuge_bvshl0_ltr.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvuge_bvshl0_rtl.smt2;to;0;0;0;10800.04;to;0;0;0;10800.06;mo;0;0;0;2649.97;to;0;0;0;10800.08;to;0;0;0;10800.05;mo;0;0;0;2648.31
partial-int_check_bvuge_bvshl1_ltr.smt2;to;0;0;0;10800.2;to;0;0;0;10800.05;mo;0;0;0;2607.56;to;0;0;0;10800.1;to;0;0;0;10800.1;mo;0;0;0;3220.98
partial-int_check_bvuge_bvshl1_rtl.smt2;to;0;0;0;10800.09;ok;1;0;1;101.37;mo;0;0;0;2709.07;ok;1;0;1;100.46;to;0;0;0;10800.06;mo;0;0;0;2687.54
partial-int_check_bvuge_bvudiv0_ltr.smt2;to;0;0;0;10800.09;ok;0;0;0;2.77;mo;0;0;0;192.52;ok;0;0;0;2.57;to;0;0;0;10800.01;mo;0;0;0;186.04
partial-int_check_bvuge_bvudiv0_rtl.smt2;to;0;0;0;10800.13;ok;0;0;0;6.54;mo;0;0;0;9881.84;ok;0;0;0;6.22;to;0;0;0;10800.15;mo;0;0;0;10760.15
partial-int_check_bvuge_bvudiv1_ltr.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvuge_bvudiv1_rtl.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvuge_bvurem0_ltr.smt2;ok;1;0;1;40.02;ok;1;0;1;0.74;mo;0;0;0;3274.22;ok;1;0;1;0.72;ok;1;0;1;40.13;mo;0;0;0;3176.5
partial-int_check_bvuge_bvurem0_rtl.smt2;ok;1;0;1;3.28;ok;1;0;1;1.23;mo;0;0;0;2114.43;ok;1;0;1;1.32;ok;1;0;1;3.33;mo;0;0;0;2561.38
partial-int_check_bvuge_bvurem1_ltr.smt2;to;0;0;0;10800.02;ok;0;0;0;6.5;mo;0;0;0;189.11;ok;0;0;0;6.3;to;0;0;0;10800.01;mo;0;0;0;186.84
partial-int_check_bvuge_bvurem1_rtl.smt2;to;0;0;0;10800.02;ok;0;0;0;0.23;mo;0;0;0;3369.61;ok;0;0;0;0.22;to;0;0;0;10800.03;mo;0;0;0;3575.75
partial-int_check_bvugt_bvadd_ltr.smt2;ok;1;0;1;2.09;ok;1;0;1;0.36;mo;0;0;0;3199.03;ok;1;0;1;0.44;ok;1;0;1;2.04;mo;0;0;0;3270.27
partial-int_check_bvugt_bvadd_rtl.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvugt_bvand_ltr.smt2;to;0;0;0;10800.05;ok;0;0;0;3.43;mo;0;0;0;3320.1;ok;0;0;0;3.88;to;0;0;0;10800.01;mo;0;0;0;3832.27
partial-int_check_bvugt_bvand_rtl.smt2;to;0;0;0;10800.09;ok;0;0;0;0.07;mo;0;0;0;3617.72;ok;0;0;0;0.07;to;0;0;0;10800.07;mo;0;0;0;3577.09
partial-int_check_bvugt_bvashr0_ltr.smt2;ok;1;0;1;45.18;ok;1;0;1;26.64;mo;0;0;0;2695.18;ok;1;0;1;27.64;ok;1;0;1;45.48;mo;0;0;0;3282.38
partial-int_check_bvugt_bvashr0_rtl.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvugt_bvashr1_ltr.smt2;to;0;0;0;10800.04;ok;0;0;0;1.22;mo;0;0;0;1243.48;ok;0;0;0;1.32;to;0;0;0;10800.01;mo;0;0;0;1192.15
partial-int_check_bvugt_bvashr1_rtl.smt2;ok;1;0;1;74.9;ok;1;0;1;24.45;to;0;0;0;10800.09;ok;1;0;1;25.22;ok;1;0;1;76.42;to;0;0;0;10800.11
partial-int_check_bvugt_bvlshr0_ltr.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvugt_bvlshr0_rtl.smt2;to;0;0;0;10746.87;mo;0;0;0;3367.46;mo;0;0;0;2652.37;mo;0;0;0;3337.36;to;0;0;0;10800.03;mo;0;0;0;2635.47
partial-int_check_bvugt_bvlshr1_ltr.smt2;ok;1;0;1;1.67;ok;1;0;1;0.18;mo;0;0;0;2551.62;ok;1;0;1;0.15;ok;1;0;1;1.59;mo;0;0;0;3122.19
partial-int_check_bvugt_bvlshr1_rtl.smt2;ok;1;0;1;6.01;ok;1;0;1;1.33;mo;0;0;0;2708.98;ok;1;0;1;1.29;ok;1;0;1;6.08;mo;0;0;0;2671.55
partial-int_check_bvugt_bvmul_ltr.smt2;mo;0;0;0;956.54;mo;0;0;0;686.01;mo;0;0;0;3136.06;mo;0;0;0;697.5;mo;0;0;0;948.34;mo;0;0;0;3186.17
partial-int_check_bvugt_bvmul_rtl.smt2;to;0;0;0;10800.01;ok;0;0;0;1.28;mo;0;0;0;2730.3;ok;0;0;0;1.35;to;0;0;0;10800.06;mo;0;0;0;3121.05
partial-int_check_bvugt_bvneg_ltr.smt2;ok;1;0;1;3.18;ok;1;0;1;0.32;mo;0;0;0;2655.92;ok;1;0;1;0.3;ok;1;0;1;3.21;mo;0;0;0;3192.94
partial-int_check_bvugt_bvneg_rtl.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvugt_bvnot_ltr.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvugt_bvnot_rtl.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvugt_bvor_ltr.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;39.37;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;38.3
partial-int_check_bvugt_bvor_rtl.smt2;to;0;0;0;10800.01;ok;0;0;0;0.45;to;0;0;0;10800.17;ok;0;0;0;0.47;to;0;0;0;10800.09;to;0;0;0;10787.6
partial-int_check_bvugt_bvshl0_ltr.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvugt_bvshl0_rtl.smt2;to;0;0;0;10773.47;to;0;0;0;10800.03;mo;0;0;0;2668.76;to;0;0;0;10800.02;to;0;0;0;10800.09;mo;0;0;0;2636.76
partial-int_check_bvugt_bvshl1_ltr.smt2;mo;0;0;0;3815.12;mo;0;0;0;943.7;mo;0;0;0;3129.94;mo;0;0;0;951.47;mo;0;0;0;3762.83;mo;0;0;0;3243.96
partial-int_check_bvugt_bvshl1_rtl.smt2;to;0;0;0;10800.06;ok;1;0;1;0.37;mo;0;0;0;2659.6;ok;1;0;1;0.36;to;0;0;0;10800.08;mo;0;0;0;2682.64
partial-int_check_bvugt_bvudiv0_ltr.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvugt_bvudiv0_rtl.smt2;to;0;0;0;10800.06;ok;1;0;1;6995.55;mo;0;0;0;5173.13;ok;1;0;1;7088.21;to;0;0;0;10800.09;mo;0;0;0;5847.6
partial-int_check_bvugt_bvudiv1_ltr.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvugt_bvudiv1_rtl.smt2;ok;1;0;1;2.43;ok;1;0;1;0.35;ok;1;0;1;0.09;ok;1;0;1;0.37;ok;1;0;1;2.34;ok;1;0;1;0.07
partial-int_check_bvugt_bvurem0_ltr.smt2;ok;1;0;1;91.13;ok;1;0;1;1.28;mo;0;0;0;3042.4;ok;1;0;1;1.2;ok;1;0;1;91.77;mo;0;0;0;3277.38
partial-int_check_bvugt_bvurem0_rtl.smt2;ok;1;0;1;2.03;ok;1;0;1;0.73;mo;0;0;0;2672.57;ok;1;0;1;0.69;ok;1;0;1;1.97;mo;0;0;0;2635.25
partial-int_check_bvugt_bvurem1_ltr.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvugt_bvurem1_rtl.smt2;ok;1;0;1;3.13;ok;1;0;1;0.51;ok;1;0;1;0.08;ok;1;0;1;0.43;ok;1;0;1;3.03;ok;1;0;1;0.0
partial-int_check_bvule_bvadd_ltr.smt2;ok;1;0;1;5.49;ok;1;0;1;0.34;mo;0;0;0;3119.31;ok;1;0;1;0.32;ok;1;0;1;5.52;mo;0;0;0;3133.21
partial-int_check_bvule_bvadd_rtl.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvule_bvand_ltr.smt2;to;0;0;0;10800.04;ok;0;0;0;0.07;mo;0;0;0;3649.38;ok;0;0;0;0.09;to;0;0;0;10800.07;mo;0;0;0;3876.4
partial-int_check_bvule_bvand_rtl.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvule_bvashr0_ltr.smt2;ok;1;0;1;164.24;ok;1;0;1;5.74;mo;0;0;0;3353.73;ok;1;0;1;5.98;ok;1;0;1;164.49;mo;0;0;0;3356.95
partial-int_check_bvule_bvashr0_rtl.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvule_bvashr1_ltr.smt2;to;0;0;0;10800.09;ok;0;0;0;3.36;to;0;0;0;10800.13;ok;0;0;0;3.45;to;0;0;0;10800.04;to;0;0;0;10800.19
partial-int_check_bvule_bvashr1_rtl.smt2;ok;1;0;1;22.36;ok;1;0;1;4.26;mo;0;0;0;2707.16;ok;1;0;1;3.99;ok;1;0;1;21.67;mo;0;0;0;2633.78
partial-int_check_bvule_bvlshr0_ltr.smt2;to;0;0;0;10755.25;to;0;0;0;10800.07;mo;0;0;0;3288.74;to;0;0;0;10800.04;to;0;0;0;10800.06;mo;0;0;0;3273.35
partial-int_check_bvule_bvlshr0_rtl.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
partial-int_check_bvule_bvlshr1_ltr.smt2;to;0;0;0;10800.1;to;0;0;0;10792.55;mo;0;0;0;3250.02;to;0;0;0;10794.38;to;0;0;0;10800.08;mo;0;0;0;3250.22
