DIRECTORY;cvc4_cbqi;cvc4_default;cvc4_fmf;cvc4_tplanes;cvc4_tplanes_cbqi;cvc4_tplanes_fmf
BENCHMARK;STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s]
full-int_check_bvsge_bvurem0_ltr.smt2;ok;1;0;1;3.21;ok;1;0;1;1.92;to;0;0;0;10800.02;ok;1;0;1;1.81;ok;1;0;1;3.23;to;0;0;0;10800.01
full-int_check_bvsge_bvurem0_rtl.smt2;ok;1;0;1;0.16;ok;1;0;1;0.06;ok;1;0;1;0.22;ok;1;0;1;0.07;ok;1;0;1;0.14;ok;1;0;1;0.16
full-int_check_bvsge_bvurem1_ltr.smt2;to;0;0;0;10789.02;ok;0;0;0;0.86;to;0;0;0;10800.1;ok;0;0;0;0.96;to;0;0;0;10800.06;to;0;0;0;10800.04
full-int_check_bvsge_bvurem1_rtl.smt2;ok;1;0;1;16.94;ok;1;0;1;0.37;ok;1;0;1;2.17;ok;1;0;1;0.42;ok;1;0;1;16.97;ok;1;0;1;2.21
full-int_check_bvsgt_bvadd_ltr.smt2;ok;1;0;1;6.8;ok;1;0;1;4.43;to;0;0;0;10800.19;ok;1;0;1;4.37;ok;1;0;1;7.03;to;0;0;0;10800.12
full-int_check_bvsgt_bvadd_rtl.smt2;ok;1;0;1;0.17;ok;1;0;1;0.0;mo;0;0;0;923.29;ok;1;0;1;0.06;ok;1;0;1;0.18;mo;0;0;0;918.26
full-int_check_bvsgt_bvand_ltr.smt2;to;0;0;0;10800.03;ok;0;0;0;0.08;to;0;0;0;10800.01;ok;0;0;0;0.06;to;0;0;0;10800.08;to;0;0;0;10800.09
full-int_check_bvsgt_bvand_rtl.smt2;to;0;0;0;10800.05;ok;0;0;0;0.18;mo;0;0;0;467.32;ok;0;0;0;0.14;to;0;0;0;10748.05;mo;0;0;0;482.08
full-int_check_bvsgt_bvashr0_ltr.smt2;to;0;0;0;10800.07;ok;0;0;0;1.68;mo;0;0;0;7808.58;ok;0;0;0;1.76;to;0;0;0;10800.06;mo;0;0;0;7709.94
full-int_check_bvsgt_bvashr0_rtl.smt2;to;0;0;0;10800.1;ok;0;0;0;0.29;mo;0;0;0;1185.76;ok;0;0;0;0.22;to;0;0;0;10800.02;mo;0;0;0;1194.65
full-int_check_bvsgt_bvashr1_ltr.smt2;to;0;0;0;10800.04;ok;0;0;0;0.23;mo;0;0;0;223.36;ok;0;0;0;0.27;to;0;0;0;10800.08;mo;0;0;0;220.63
full-int_check_bvsgt_bvashr1_rtl.smt2;to;0;0;0;10800.08;ok;0;0;0;0.85;mo;0;0;0;1167.4;ok;0;0;0;0.88;to;0;0;0;10800.09;mo;0;0;0;1204.1
full-int_check_bvsgt_bvlshr0_ltr.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
full-int_check_bvsgt_bvlshr0_rtl.smt2;to;0;0;0;10800.02;mo;0;0;0;5727.31;mo;0;0;0;1101.28;mo;0;0;0;5645.51;to;0;0;0;10800.06;mo;0;0;0;1128.46
full-int_check_bvsgt_bvlshr1_ltr.smt2;to;0;0;0;10800.06;ok;0;0;0;1.12;to;0;0;0;10800.12;ok;0;0;0;1.03;to;0;0;0;10800.03;to;0;0;0;10800.14
full-int_check_bvsgt_bvlshr1_rtl.smt2;to;0;0;0;10800.02;ok;0;0;0;0.68;mo;0;0;0;724.12;ok;0;0;0;0.63;to;0;0;0;10800.06;mo;0;0;0;746.46
full-int_check_bvsgt_bvmul_ltr.smt2;to;0;0;0;10800.05;to;0;0;0;10800.03;mo;0;0;0;809.41;to;0;0;0;10800.09;to;0;0;0;10800.1;mo;0;0;0;720.75
full-int_check_bvsgt_bvmul_rtl.smt2;to;0;0;0;10773.21;ok;0;0;0;0.54;mo;0;0;0;1165.45;ok;0;0;0;0.5;to;0;0;0;10800.04;mo;0;0;0;1123.88
