,ic_name,direction,encoding,cond_inv,proved
122,bvsge_bvor,ltr,qf,no_inv,no
123,bvsge_bvor,rtl,full,NA,no
124,bvsge_bvor,rtl,partial,NA,no
125,bvsge_bvor,rtl,qf,NA,no
126,bvsge_bvshl0,ltr,full,inv_g,no
127,bvsge_bvshl0,ltr,full,no_inv,no
128,bvsge_bvshl0,ltr,partial,inv_g,no
129,bvsge_bvshl0,ltr,partial,no_inv,no
130,bvsge_bvshl0,ltr,qf,inv_g,no
131,bvsge_bvshl0,ltr,qf,no_inv,no
132,bvsge_bvshl0,rtl,full,NA,no
133,bvsge_bvshl0,rtl,partial,NA,no
134,bvsge_bvshl0,rtl,qf,NA,no
135,bvsge_bvshl1,ltr,full,no_inv,no
136,bvsge_bvshl1,ltr,partial,no_inv,no
137,bvsge_bvshl1,ltr,qf,no_inv,no
138,bvsge_bvshl1,rtl,full,NA,no
139,bvsge_bvshl1,rtl,partial,NA,yes
140,bvsge_bvshl1,rtl,qf,NA,no
141,bvsge_bvudiv0,ltr,full,no_inv,no
142,bvsge_bvudiv0,ltr,partial,no_inv,no
143,bvsge_bvudiv0,ltr,qf,no_inv,no
144,bvsge_bvudiv0,rtl,full,NA,yes
145,bvsge_bvudiv0,rtl,partial,NA,yes
146,bvsge_bvudiv0,rtl,qf,NA,yes
147,bvsge_bvudiv1,ltr,full,no_inv,no
148,bvsge_bvudiv1,ltr,partial,no_inv,no
149,bvsge_bvudiv1,ltr,qf,no_inv,no
150,bvsge_bvudiv1,rtl,full,NA,no
151,bvsge_bvudiv1,rtl,partial,NA,yes
152,bvsge_bvudiv1,rtl,qf,NA,yes
153,bvsge_bvurem0,ltr,full,inv_a,yes
154,bvsge_bvurem0,ltr,full,inv_g,yes
155,bvsge_bvurem0,ltr,full,inv_r,yes
156,bvsge_bvurem0,ltr,full,no_inv,no
157,bvsge_bvurem0,ltr,partial,inv_a,yes
158,bvsge_bvurem0,ltr,partial,inv_g,yes
159,bvsge_bvurem0,ltr,partial,inv_r,yes
160,bvsge_bvurem0,ltr,partial,no_inv,no
161,bvsge_bvurem0,ltr,qf,inv_a,yes
162,bvsge_bvurem0,ltr,qf,inv_g,yes
163,bvsge_bvurem0,ltr,qf,inv_r,yes
164,bvsge_bvurem0,ltr,qf,no_inv,no
165,bvsge_bvurem0,rtl,full,NA,yes
166,bvsge_bvurem0,rtl,partial,NA,yes
167,bvsge_bvurem0,rtl,qf,NA,yes
168,bvsge_bvurem1,ltr,full,inv_g,no
169,bvsge_bvurem1,ltr,full,no_inv,no
170,bvsge_bvurem1,ltr,partial,inv_g,no
171,bvsge_bvurem1,ltr,partial,no_inv,no
172,bvsge_bvurem1,ltr,qf,inv_g,no
173,bvsge_bvurem1,ltr,qf,no_inv,no
174,bvsge_bvurem1,rtl,full,NA,yes
175,bvsge_bvurem1,rtl,partial,NA,yes
176,bvsge_bvurem1,rtl,qf,NA,yes
177,bvsgt_bvadd,ltr,full,inv_a,yes
178,bvsgt_bvadd,ltr,full,inv_g,yes
179,bvsgt_bvadd,ltr,full,inv_r,no
180,bvsgt_bvadd,ltr,full,no_inv,no
181,bvsgt_bvadd,ltr,partial,inv_a,yes
182,bvsgt_bvadd,ltr,partial,inv_g,yes
183,bvsgt_bvadd,ltr,partial,inv_r,no
184,bvsgt_bvadd,ltr,partial,no_inv,no
185,bvsgt_bvadd,ltr,qf,inv_a,yes
186,bvsgt_bvadd,ltr,qf,inv_g,yes
187,bvsgt_bvadd,ltr,qf,inv_r,no
188,bvsgt_bvadd,ltr,qf,no_inv,no
189,bvsgt_bvadd,rtl,full,NA,yes
190,bvsgt_bvadd,rtl,partial,NA,yes
191,bvsgt_bvadd,rtl,qf,NA,yes
192,bvsgt_bvand,ltr,full,inv_a,no
193,bvsgt_bvand,ltr,full,inv_g,no
194,bvsgt_bvand,ltr,full,inv_r,no
195,bvsgt_bvand,ltr,full,no_inv,no
196,bvsgt_bvand,ltr,partial,inv_a,no
197,bvsgt_bvand,ltr,partial,inv_g,no
198,bvsgt_bvand,ltr,partial,inv_r,no
199,bvsgt_bvand,ltr,partial,no_inv,no
200,bvsgt_bvand,ltr,qf,inv_a,no
201,bvsgt_bvand,ltr,qf,inv_g,no
202,bvsgt_bvand,ltr,qf,inv_r,no
203,bvsgt_bvand,ltr,qf,no_inv,no
204,bvsgt_bvand,rtl,full,NA,no
205,bvsgt_bvand,rtl,partial,NA,no
206,bvsgt_bvand,rtl,qf,NA,no
207,bvsgt_bvashr0,ltr,full,inv_a,no
208,bvsgt_bvashr0,ltr,full,inv_g,no
209,bvsgt_bvashr0,ltr,full,inv_r,no
210,bvsgt_bvashr0,ltr,full,no_inv,no
211,bvsgt_bvashr0,ltr,partial,inv_a,yes
212,bvsgt_bvashr0,ltr,partial,inv_g,yes
213,bvsgt_bvashr0,ltr,partial,inv_r,yes
214,bvsgt_bvashr0,ltr,partial,no_inv,no
215,bvsgt_bvashr0,ltr,qf,inv_a,yes
216,bvsgt_bvashr0,ltr,qf,inv_g,yes
217,bvsgt_bvashr0,ltr,qf,inv_r,yes
218,bvsgt_bvashr0,ltr,qf,no_inv,no
219,bvsgt_bvashr0,rtl,full,NA,no
220,bvsgt_bvashr0,rtl,partial,NA,yes
221,bvsgt_bvashr0,rtl,qf,NA,no
222,bvsgt_bvashr1,ltr,full,inv_g,no
223,bvsgt_bvashr1,ltr,full,inv_r,no
224,bvsgt_bvashr1,ltr,full,no_inv,no
225,bvsgt_bvashr1,ltr,partial,inv_g,no
226,bvsgt_bvashr1,ltr,partial,inv_r,no
227,bvsgt_bvashr1,ltr,partial,no_inv,no
228,bvsgt_bvashr1,ltr,qf,inv_g,no
229,bvsgt_bvashr1,ltr,qf,inv_r,no
230,bvsgt_bvashr1,ltr,qf,no_inv,no
231,bvsgt_bvashr1,rtl,full,NA,no
232,bvsgt_bvashr1,rtl,partial,NA,no
233,bvsgt_bvashr1,rtl,qf,NA,no
234,bvsgt_bvlshr0,ltr,full,inv_g,yes
235,bvsgt_bvlshr0,ltr,full,inv_r,no
236,bvsgt_bvlshr0,ltr,full,no_inv,no
237,bvsgt_bvlshr0,ltr,partial,inv_g,yes
238,bvsgt_bvlshr0,ltr,partial,inv_r,no
239,bvsgt_bvlshr0,ltr,partial,no_inv,no
240,bvsgt_bvlshr0,ltr,qf,inv_g,yes
241,bvsgt_bvlshr0,ltr,qf,inv_r,no
242,bvsgt_bvlshr0,ltr,qf,no_inv,no
243,bvsgt_bvlshr0,rtl,full,NA,no
244,bvsgt_bvlshr0,rtl,partial,NA,no
245,bvsgt_bvlshr0,rtl,qf,NA,no
246,bvsgt_bvlshr1,ltr,full,no_inv,no
247,bvsgt_bvlshr1,ltr,partial,no_inv,no
248,bvsgt_bvlshr1,ltr,qf,no_inv,no
249,bvsgt_bvlshr1,rtl,full,NA,no
250,bvsgt_bvlshr1,rtl,partial,NA,yes
251,bvsgt_bvlshr1,rtl,qf,NA,no
252,bvsgt_bvmul,ltr,full,no_inv,no
253,bvsgt_bvmul,ltr,partial,no_inv,no
254,bvsgt_bvmul,ltr,qf,no_inv,no
255,bvsgt_bvmul,rtl,full,NA,no
256,bvsgt_bvmul,rtl,partial,NA,no
257,bvsgt_bvmul,rtl,qf,NA,no
258,bvsgt_bvneg,ltr,full,inv_a,yes
259,bvsgt_bvneg,ltr,full,inv_g,yes
260,bvsgt_bvneg,ltr,full,inv_r,yes
261,bvsgt_bvneg,ltr,full,no_inv,no
262,bvsgt_bvneg,ltr,partial,inv_a,yes
263,bvsgt_bvneg,ltr,partial,inv_g,yes
264,bvsgt_bvneg,ltr,partial,inv_r,yes
265,bvsgt_bvneg,ltr,partial,no_inv,no
266,bvsgt_bvneg,ltr,qf,inv_a,yes
267,bvsgt_bvneg,ltr,qf,inv_g,yes
268,bvsgt_bvneg,ltr,qf,inv_r,yes
269,bvsgt_bvneg,ltr,qf,no_inv,no
270,bvsgt_bvneg,rtl,full,NA,yes
271,bvsgt_bvneg,rtl,partial,NA,yes
272,bvsgt_bvneg,rtl,qf,NA,yes
273,bvsgt_bvnot,ltr,full,inv_a,yes
274,bvsgt_bvnot,ltr,full,inv_g,yes
275,bvsgt_bvnot,ltr,full,inv_r,yes
276,bvsgt_bvnot,ltr,full,no_inv,no
277,bvsgt_bvnot,ltr,partial,inv_a,yes
278,bvsgt_bvnot,ltr,partial,inv_g,yes
279,bvsgt_bvnot,ltr,partial,inv_r,yes
280,bvsgt_bvnot,ltr,partial,no_inv,no
281,bvsgt_bvnot,ltr,qf,inv_a,yes
282,bvsgt_bvnot,ltr,qf,inv_g,yes
283,bvsgt_bvnot,ltr,qf,inv_r,yes
284,bvsgt_bvnot,ltr,qf,no_inv,no
285,bvsgt_bvnot,rtl,full,NA,yes
286,bvsgt_bvnot,rtl,partial,NA,yes
287,bvsgt_bvnot,rtl,qf,NA,yes
288,bvsgt_bvor,ltr,full,inv_a,no
289,bvsgt_bvor,ltr,full,inv_g,no
290,bvsgt_bvor,ltr,full,inv_r,no
291,bvsgt_bvor,ltr,full,no_inv,no
292,bvsgt_bvor,ltr,partial,inv_a,yes
293,bvsgt_bvor,ltr,partial,inv_g,yes
294,bvsgt_bvor,ltr,partial,inv_r,yes
295,bvsgt_bvor,ltr,partial,no_inv,no
296,bvsgt_bvor,ltr,qf,inv_a,no
297,bvsgt_bvor,ltr,qf,inv_g,no
298,bvsgt_bvor,ltr,qf,inv_r,no
299,bvsgt_bvor,ltr,qf,no_inv,no
300,bvsgt_bvor,rtl,full,NA,no
301,bvsgt_bvor,rtl,partial,NA,no
302,bvsgt_bvor,rtl,qf,NA,no
303,bvsgt_bvshl0,ltr,full,inv_g,no
304,bvsgt_bvshl0,ltr,full,no_inv,no
305,bvsgt_bvshl0,ltr,partial,inv_g,no
306,bvsgt_bvshl0,ltr,partial,no_inv,no
307,bvsgt_bvshl0,ltr,qf,inv_g,no
308,bvsgt_bvshl0,ltr,qf,no_inv,no
309,bvsgt_bvshl0,rtl,full,NA,no
310,bvsgt_bvshl0,rtl,partial,NA,no
311,bvsgt_bvshl0,rtl,qf,NA,no
312,bvsgt_bvshl1,ltr,full,no_inv,no
313,bvsgt_bvshl1,ltr,partial,no_inv,no
314,bvsgt_bvshl1,ltr,qf,no_inv,no
315,bvsgt_bvshl1,rtl,full,NA,no
316,bvsgt_bvshl1,rtl,partial,NA,yes
317,bvsgt_bvshl1,rtl,qf,NA,no
318,bvsgt_bvudiv0,ltr,full,no_inv,no
319,bvsgt_bvudiv0,ltr,partial,no_inv,no
320,bvsgt_bvudiv0,ltr,qf,no_inv,no
321,bvsgt_bvudiv0,rtl,full,NA,yes
322,bvsgt_bvudiv0,rtl,partial,NA,yes
323,bvsgt_bvudiv0,rtl,qf,NA,no
324,bvsgt_bvudiv1,ltr,full,no_inv,no
325,bvsgt_bvudiv1,ltr,partial,no_inv,no
326,bvsgt_bvudiv1,ltr,qf,no_inv,no
327,bvsgt_bvudiv1,rtl,full,NA,yes
328,bvsgt_bvudiv1,rtl,partial,NA,yes
329,bvsgt_bvudiv1,rtl,qf,NA,yes
330,bvsgt_bvurem0,ltr,full,inv_a,yes
331,bvsgt_bvurem0,ltr,full,inv_g,yes
332,bvsgt_bvurem0,ltr,full,inv_r,yes
333,bvsgt_bvurem0,ltr,full,no_inv,no
334,bvsgt_bvurem0,ltr,partial,inv_a,yes
335,bvsgt_bvurem0,ltr,partial,inv_g,yes
336,bvsgt_bvurem0,ltr,partial,inv_r,yes
337,bvsgt_bvurem0,ltr,partial,no_inv,no
338,bvsgt_bvurem0,ltr,qf,inv_a,yes
339,bvsgt_bvurem0,ltr,qf,inv_g,yes
340,bvsgt_bvurem0,ltr,qf,inv_r,yes
341,bvsgt_bvurem0,ltr,qf,no_inv,no
342,bvsgt_bvurem0,rtl,full,NA,yes
343,bvsgt_bvurem0,rtl,partial,NA,yes
344,bvsgt_bvurem0,rtl,qf,NA,yes
345,bvsgt_bvurem1,ltr,full,inv_g,no
346,bvsgt_bvurem1,ltr,full,no_inv,no
347,bvsgt_bvurem1,ltr,partial,inv_g,no
348,bvsgt_bvurem1,ltr,partial,no_inv,no
349,bvsgt_bvurem1,ltr,qf,inv_g,no
350,bvsgt_bvurem1,ltr,qf,no_inv,no
351,bvsgt_bvurem1,rtl,full,NA,yes
352,bvsgt_bvurem1,rtl,partial,NA,yes
353,bvsgt_bvurem1,rtl,qf,NA,yes
354,bvsle_bvadd,ltr,full,inv_a,no
355,bvsle_bvadd,ltr,full,inv_g,no
356,bvsle_bvadd,ltr,full,inv_r,no
357,bvsle_bvadd,ltr,full,no_inv,no
358,bvsle_bvadd,ltr,partial,inv_a,yes
359,bvsle_bvadd,ltr,partial,inv_g,yes
360,bvsle_bvadd,ltr,partial,inv_r,no
361,bvsle_bvadd,ltr,partial,no_inv,no
362,bvsle_bvadd,ltr,qf,inv_a,no
363,bvsle_bvadd,ltr,qf,inv_g,no
364,bvsle_bvadd,ltr,qf,inv_r,no
365,bvsle_bvadd,ltr,qf,no_inv,no
366,bvsle_bvadd,rtl,full,NA,yes
367,bvsle_bvadd,rtl,partial,NA,yes
368,bvsle_bvadd,rtl,qf,NA,yes
369,bvsle_bvand,ltr,full,inv_a,no
370,bvsle_bvand,ltr,full,inv_g,no
371,bvsle_bvand,ltr,full,inv_r,no
372,bvsle_bvand,ltr,full,no_inv,no
373,bvsle_bvand,ltr,partial,inv_a,no
374,bvsle_bvand,ltr,partial,inv_g,no
375,bvsle_bvand,ltr,partial,inv_r,no
376,bvsle_bvand,ltr,partial,no_inv,no
377,bvsle_bvand,ltr,qf,inv_a,no
378,bvsle_bvand,ltr,qf,inv_g,no
379,bvsle_bvand,ltr,qf,inv_r,no
380,bvsle_bvand,ltr,qf,no_inv,no
381,bvsle_bvand,rtl,full,NA,no
382,bvsle_bvand,rtl,partial,NA,no
383,bvsle_bvand,rtl,qf,NA,no
384,bvsle_bvashr0,ltr,full,inv_a,no
385,bvsle_bvashr0,ltr,full,inv_g,no
386,bvsle_bvashr0,ltr,full,inv_r,no
387,bvsle_bvashr0,ltr,full,no_inv,no
388,bvsle_bvashr0,ltr,partial,inv_a,yes
389,bvsle_bvashr0,ltr,partial,inv_g,yes
390,bvsle_bvashr0,ltr,partial,inv_r,yes
391,bvsle_bvashr0,ltr,partial,no_inv,no
392,bvsle_bvashr0,ltr,qf,inv_a,yes
393,bvsle_bvashr0,ltr,qf,inv_g,yes
394,bvsle_bvashr0,ltr,qf,inv_r,yes
395,bvsle_bvashr0,ltr,qf,no_inv,no
396,bvsle_bvashr0,rtl,full,NA,no
397,bvsle_bvashr0,rtl,partial,NA,no
398,bvsle_bvashr0,rtl,qf,NA,no
399,bvsle_bvashr1,ltr,full,inv_g,no
400,bvsle_bvashr1,ltr,full,inv_r,no
401,bvsle_bvashr1,ltr,full,no_inv,no
402,bvsle_bvashr1,ltr,partial,inv_g,no
403,bvsle_bvashr1,ltr,partial,inv_r,no
404,bvsle_bvashr1,ltr,partial,no_inv,no
405,bvsle_bvashr1,ltr,qf,inv_g,no
406,bvsle_bvashr1,ltr,qf,inv_r,no
407,bvsle_bvashr1,ltr,qf,no_inv,no
408,bvsle_bvashr1,rtl,full,NA,no
409,bvsle_bvashr1,rtl,partial,NA,yes
410,bvsle_bvashr1,rtl,qf,NA,yes
411,bvsle_bvlshr0,ltr,full,inv_a,yes
412,bvsle_bvlshr0,ltr,full,inv_g,yes
413,bvsle_bvlshr0,ltr,full,inv_r,yes
414,bvsle_bvlshr0,ltr,full,no_inv,yes
415,bvsle_bvlshr0,ltr,partial,inv_a,yes
416,bvsle_bvlshr0,ltr,partial,inv_g,yes
417,bvsle_bvlshr0,ltr,partial,inv_r,yes
418,bvsle_bvlshr0,ltr,partial,no_inv,yes
419,bvsle_bvlshr0,ltr,qf,inv_a,yes
420,bvsle_bvlshr0,ltr,qf,inv_g,yes
421,bvsle_bvlshr0,ltr,qf,inv_r,yes
422,bvsle_bvlshr0,ltr,qf,no_inv,yes
423,bvsle_bvlshr0,rtl,full,NA,no
424,bvsle_bvlshr0,rtl,partial,NA,yes
425,bvsle_bvlshr0,rtl,qf,NA,no
426,bvsle_bvlshr1,ltr,full,inv_g,no
427,bvsle_bvlshr1,ltr,full,inv_r,no
428,bvsle_bvlshr1,ltr,full,no_inv,no
429,bvsle_bvlshr1,ltr,partial,inv_g,no
430,bvsle_bvlshr1,ltr,partial,inv_r,no
431,bvsle_bvlshr1,ltr,partial,no_inv,no
