config,ic_name,direction,proved
cvc4_tplanes,bvslt_bvashr0,rtl,no
cvc4_tplanes,bvslt_bvashr1,ltr,no
cvc4_tplanes,bvslt_bvashr1,rtl,yes
cvc4_tplanes,bvslt_bvlshr0,ltr,yes
cvc4_tplanes,bvslt_bvlshr0,rtl,yes
cvc4_tplanes,bvslt_bvlshr1,ltr,no
cvc4_tplanes,bvslt_bvlshr1,rtl,yes
cvc4_tplanes,bvslt_bvmul,ltr,no
cvc4_tplanes,bvslt_bvmul,rtl,no
cvc4_tplanes,bvslt_bvneg,ltr,yes
cvc4_tplanes,bvslt_bvneg,rtl,yes
cvc4_tplanes,bvslt_bvnot,ltr,yes
cvc4_tplanes,bvslt_bvnot,rtl,yes
cvc4_tplanes,bvslt_bvor,ltr,no
cvc4_tplanes,bvslt_bvor,rtl,no
cvc4_tplanes,bvslt_bvshl0,ltr,yes
cvc4_tplanes,bvslt_bvshl0,rtl,no
cvc4_tplanes,bvslt_bvshl1,ltr,no
cvc4_tplanes,bvslt_bvshl1,rtl,yes
cvc4_tplanes,bvslt_bvudiv0,ltr,yes
cvc4_tplanes,bvslt_bvudiv0,rtl,yes
cvc4_tplanes,bvslt_bvudiv1,ltr,no
cvc4_tplanes,bvslt_bvudiv1,rtl,yes
cvc4_tplanes,bvslt_bvurem0,ltr,no
cvc4_tplanes,bvslt_bvurem0,rtl,no
cvc4_tplanes,bvslt_bvurem1,ltr,yes
cvc4_tplanes,bvslt_bvurem1,rtl,yes
cvc4_tplanes,bvuge_bvadd,ltr,yes
cvc4_tplanes,bvuge_bvadd,rtl,yes
cvc4_tplanes,bvuge_bvand,ltr,yes
cvc4_tplanes,bvuge_bvand,rtl,no
cvc4_tplanes,bvuge_bvashr0,ltr,yes
cvc4_tplanes,bvuge_bvashr0,rtl,yes
cvc4_tplanes,bvuge_bvashr1,ltr,no
cvc4_tplanes,bvuge_bvashr1,rtl,yes
cvc4_tplanes,bvuge_bvlshr0,ltr,no
cvc4_tplanes,bvuge_bvlshr0,rtl,yes
cvc4_tplanes,bvuge_bvlshr1,ltr,yes
cvc4_tplanes,bvuge_bvlshr1,rtl,yes
cvc4_tplanes,bvuge_bvmul,ltr,no
cvc4_tplanes,bvuge_bvmul,rtl,no
cvc4_tplanes,bvuge_bvneg,ltr,yes
cvc4_tplanes,bvuge_bvneg,rtl,yes
cvc4_tplanes,bvuge_bvnot,ltr,yes
cvc4_tplanes,bvuge_bvnot,rtl,yes
cvc4_tplanes,bvuge_bvor,ltr,no
cvc4_tplanes,bvuge_bvor,rtl,yes
cvc4_tplanes,bvuge_bvshl0,ltr,yes
cvc4_tplanes,bvuge_bvshl0,rtl,no
cvc4_tplanes,bvuge_bvshl1,ltr,no
cvc4_tplanes,bvuge_bvshl1,rtl,yes
cvc4_tplanes,bvuge_bvudiv0,ltr,no
cvc4_tplanes,bvuge_bvudiv0,rtl,yes
cvc4_tplanes,bvuge_bvudiv1,ltr,yes
cvc4_tplanes,bvuge_bvudiv1,rtl,yes
cvc4_tplanes,bvuge_bvurem0,ltr,yes
cvc4_tplanes,bvuge_bvurem0,rtl,yes
cvc4_tplanes,bvuge_bvurem1,ltr,no
cvc4_tplanes,bvuge_bvurem1,rtl,yes
cvc4_tplanes,bvugt_bvadd,ltr,yes
cvc4_tplanes,bvugt_bvadd,rtl,yes
cvc4_tplanes,bvugt_bvand,ltr,yes
cvc4_tplanes,bvugt_bvand,rtl,no
cvc4_tplanes,bvugt_bvashr0,ltr,yes
cvc4_tplanes,bvugt_bvashr0,rtl,yes
cvc4_tplanes,bvugt_bvashr1,ltr,no
cvc4_tplanes,bvugt_bvashr1,rtl,yes
cvc4_tplanes,bvugt_bvlshr0,ltr,yes
cvc4_tplanes,bvugt_bvlshr0,rtl,no
cvc4_tplanes,bvugt_bvlshr1,ltr,yes
cvc4_tplanes,bvugt_bvlshr1,rtl,yes
cvc4_tplanes,bvugt_bvmul,ltr,no
cvc4_tplanes,bvugt_bvmul,rtl,no
cvc4_tplanes,bvugt_bvneg,ltr,yes
cvc4_tplanes,bvugt_bvneg,rtl,yes
cvc4_tplanes,bvugt_bvnot,ltr,yes
cvc4_tplanes,bvugt_bvnot,rtl,yes
