,ic_name,direction,encoding,proved,to_keep
132,bvsgt_bvadd,rtl,combined,yes,True
133,bvsgt_bvadd,rtl,full,yes,False
134,bvsgt_bvadd,rtl,partial,no,False
135,bvsgt_bvadd,rtl,qf,no,True
136,bvsgt_bvand,ltr,combined,yes,True
137,bvsgt_bvand,ltr,full,no,False
138,bvsgt_bvand,ltr,partial,yes,False
139,bvsgt_bvand,ltr,qf,no,True
140,bvsgt_bvand,rtl,combined,no,True
141,bvsgt_bvand,rtl,full,no,False
142,bvsgt_bvand,rtl,partial,no,False
143,bvsgt_bvand,rtl,qf,no,True
144,bvsgt_bvashr0,ltr,combined,yes,True
145,bvsgt_bvashr0,ltr,full,yes,False
146,bvsgt_bvashr0,ltr,partial,no,False
147,bvsgt_bvashr0,ltr,qf,no,True
148,bvsgt_bvashr0,rtl,combined,no,True
149,bvsgt_bvashr0,rtl,full,no,False
150,bvsgt_bvashr0,rtl,partial,no,False
151,bvsgt_bvashr0,rtl,qf,no,True
152,bvsgt_bvashr1,ltr,combined,no,True
153,bvsgt_bvashr1,ltr,full,no,False
154,bvsgt_bvashr1,ltr,partial,no,False
155,bvsgt_bvashr1,ltr,qf,no,True
156,bvsgt_bvashr1,rtl,combined,no,True
157,bvsgt_bvashr1,rtl,full,no,False
158,bvsgt_bvashr1,rtl,partial,no,False
159,bvsgt_bvashr1,rtl,qf,no,True
160,bvsgt_bvlshr0,ltr,combined,yes,True
161,bvsgt_bvlshr0,ltr,full,yes,False
162,bvsgt_bvlshr0,ltr,partial,yes,False
163,bvsgt_bvlshr0,ltr,qf,yes,True
164,bvsgt_bvlshr0,rtl,combined,no,True
165,bvsgt_bvlshr0,rtl,full,no,False
166,bvsgt_bvlshr0,rtl,partial,no,False
167,bvsgt_bvlshr0,rtl,qf,no,True
168,bvsgt_bvlshr1,ltr,combined,yes,True
169,bvsgt_bvlshr1,ltr,full,yes,False
170,bvsgt_bvlshr1,ltr,partial,yes,False
171,bvsgt_bvlshr1,ltr,qf,yes,True
172,bvsgt_bvlshr1,rtl,combined,yes,True
173,bvsgt_bvlshr1,rtl,full,no,False
174,bvsgt_bvlshr1,rtl,partial,no,False
175,bvsgt_bvlshr1,rtl,qf,no,True
176,bvsgt_bvmul,ltr,combined,no,True
177,bvsgt_bvmul,ltr,full,no,False
178,bvsgt_bvmul,ltr,partial,no,False
179,bvsgt_bvmul,ltr,qf,no,True
180,bvsgt_bvmul,rtl,combined,no,True
181,bvsgt_bvmul,rtl,full,no,False
182,bvsgt_bvmul,rtl,partial,no,False
183,bvsgt_bvmul,rtl,qf,no,True
184,bvsgt_bvneg,ltr,combined,yes,True
185,bvsgt_bvneg,ltr,full,yes,False
186,bvsgt_bvneg,ltr,partial,no,False
187,bvsgt_bvneg,ltr,qf,no,True
188,bvsgt_bvneg,rtl,combined,yes,True
189,bvsgt_bvneg,rtl,full,yes,False
190,bvsgt_bvneg,rtl,partial,no,False
191,bvsgt_bvneg,rtl,qf,no,True
192,bvsgt_bvnot,ltr,combined,yes,True
193,bvsgt_bvnot,ltr,full,yes,False
194,bvsgt_bvnot,ltr,partial,no,False
195,bvsgt_bvnot,ltr,qf,no,True
196,bvsgt_bvnot,rtl,combined,yes,True
197,bvsgt_bvnot,rtl,full,yes,False
198,bvsgt_bvnot,rtl,partial,no,False
199,bvsgt_bvnot,rtl,qf,no,True
200,bvsgt_bvor,ltr,combined,yes,True
201,bvsgt_bvor,ltr,full,no,False
202,bvsgt_bvor,ltr,partial,yes,False
203,bvsgt_bvor,ltr,qf,no,True
204,bvsgt_bvor,rtl,combined,no,True
205,bvsgt_bvor,rtl,full,no,False
206,bvsgt_bvor,rtl,partial,no,False
207,bvsgt_bvor,rtl,qf,no,True
208,bvsgt_bvshl0,ltr,combined,no,True
209,bvsgt_bvshl0,ltr,full,no,False
210,bvsgt_bvshl0,ltr,partial,no,False
211,bvsgt_bvshl0,ltr,qf,no,True
212,bvsgt_bvshl0,rtl,combined,no,True
213,bvsgt_bvshl0,rtl,full,no,False
214,bvsgt_bvshl0,rtl,partial,no,False
215,bvsgt_bvshl0,rtl,qf,no,True
216,bvsgt_bvshl1,ltr,combined,no,True
217,bvsgt_bvshl1,ltr,full,no,False
218,bvsgt_bvshl1,ltr,partial,no,False
219,bvsgt_bvshl1,ltr,qf,no,True
220,bvsgt_bvshl1,rtl,combined,yes,True
221,bvsgt_bvshl1,rtl,full,no,False
222,bvsgt_bvshl1,rtl,partial,yes,False
223,bvsgt_bvshl1,rtl,qf,no,True
224,bvsgt_bvudiv0,ltr,combined,yes,True
225,bvsgt_bvudiv0,ltr,full,yes,False
226,bvsgt_bvudiv0,ltr,partial,yes,False
227,bvsgt_bvudiv0,ltr,qf,no,True
228,bvsgt_bvudiv0,rtl,combined,yes,True
229,bvsgt_bvudiv0,rtl,full,yes,False
230,bvsgt_bvudiv0,rtl,partial,no,False
231,bvsgt_bvudiv0,rtl,qf,no,True
232,bvsgt_bvudiv1,ltr,combined,no,True
233,bvsgt_bvudiv1,ltr,full,no,False
234,bvsgt_bvudiv1,ltr,partial,no,False
235,bvsgt_bvudiv1,ltr,qf,no,True
236,bvsgt_bvudiv1,rtl,combined,yes,True
237,bvsgt_bvudiv1,rtl,full,no,False
238,bvsgt_bvudiv1,rtl,partial,no,False
239,bvsgt_bvudiv1,rtl,qf,no,True
240,bvsgt_bvurem0,ltr,combined,yes,True
241,bvsgt_bvurem0,ltr,full,yes,False
242,bvsgt_bvurem0,ltr,partial,no,False
243,bvsgt_bvurem0,ltr,qf,no,True
244,bvsgt_bvurem0,rtl,combined,yes,True
245,bvsgt_bvurem0,rtl,full,yes,False
246,bvsgt_bvurem0,rtl,partial,no,False
247,bvsgt_bvurem0,rtl,qf,no,True
248,bvsgt_bvurem1,ltr,combined,no,True
249,bvsgt_bvurem1,ltr,full,no,False
250,bvsgt_bvurem1,ltr,partial,no,False
251,bvsgt_bvurem1,ltr,qf,no,True
252,bvsgt_bvurem1,rtl,combined,yes,True
253,bvsgt_bvurem1,rtl,full,yes,False
254,bvsgt_bvurem1,rtl,partial,no,False
255,bvsgt_bvurem1,rtl,qf,no,True
256,bvsle_bvadd,ltr,combined,yes,True
257,bvsle_bvadd,ltr,full,yes,False
258,bvsle_bvadd,ltr,partial,no,False
259,bvsle_bvadd,ltr,qf,no,True
260,bvsle_bvadd,rtl,combined,yes,True
261,bvsle_bvadd,rtl,full,yes,False
262,bvsle_bvadd,rtl,partial,yes,False
263,bvsle_bvadd,rtl,qf,yes,True
264,bvsle_bvand,ltr,combined,no,True
265,bvsle_bvand,ltr,full,no,False
266,bvsle_bvand,ltr,partial,no,False
267,bvsle_bvand,ltr,qf,no,True
268,bvsle_bvand,rtl,combined,no,True
269,bvsle_bvand,rtl,full,no,False
270,bvsle_bvand,rtl,partial,no,False
271,bvsle_bvand,rtl,qf,no,True
272,bvsle_bvashr0,ltr,combined,yes,True
273,bvsle_bvashr0,ltr,full,yes,False
274,bvsle_bvashr0,ltr,partial,yes,False
275,bvsle_bvashr0,ltr,qf,no,True
276,bvsle_bvashr0,rtl,combined,no,True
277,bvsle_bvashr0,rtl,full,no,False
278,bvsle_bvashr0,rtl,partial,no,False
279,bvsle_bvashr0,rtl,qf,no,True
280,bvsle_bvashr1,ltr,combined,no,True
281,bvsle_bvashr1,ltr,full,no,False
282,bvsle_bvashr1,ltr,partial,no,False
283,bvsle_bvashr1,ltr,qf,no,True
284,bvsle_bvashr1,rtl,combined,yes,True
285,bvsle_bvashr1,rtl,full,no,False
286,bvsle_bvashr1,rtl,partial,no,False
287,bvsle_bvashr1,rtl,qf,no,True
288,bvsle_bvlshr0,ltr,combined,yes,True
289,bvsle_bvlshr0,ltr,full,yes,False
290,bvsle_bvlshr0,ltr,partial,yes,False
291,bvsle_bvlshr0,ltr,qf,yes,True
292,bvsle_bvlshr0,rtl,combined,yes,True
293,bvsle_bvlshr0,rtl,full,no,False
294,bvsle_bvlshr0,rtl,partial,no,False
295,bvsle_bvlshr0,rtl,qf,no,True
296,bvsle_bvlshr1,ltr,combined,no,True
297,bvsle_bvlshr1,ltr,full,no,False
298,bvsle_bvlshr1,ltr,partial,no,False
299,bvsle_bvlshr1,ltr,qf,no,True
300,bvsle_bvlshr1,rtl,combined,yes,True
301,bvsle_bvlshr1,rtl,full,no,False
302,bvsle_bvlshr1,rtl,partial,no,False
303,bvsle_bvlshr1,rtl,qf,no,True
304,bvsle_bvmul,ltr,combined,no,True
305,bvsle_bvmul,ltr,full,no,False
306,bvsle_bvmul,ltr,partial,no,False
307,bvsle_bvmul,ltr,qf,no,True
308,bvsle_bvmul,rtl,combined,yes,True
309,bvsle_bvmul,rtl,full,yes,False
310,bvsle_bvmul,rtl,partial,yes,False
311,bvsle_bvmul,rtl,qf,yes,True
312,bvsle_bvneg,ltr,combined,yes,True
313,bvsle_bvneg,ltr,full,yes,False
314,bvsle_bvneg,ltr,partial,no,False
315,bvsle_bvneg,ltr,qf,no,True
316,bvsle_bvneg,rtl,combined,yes,True
317,bvsle_bvneg,rtl,full,yes,False
318,bvsle_bvneg,rtl,partial,yes,False
319,bvsle_bvneg,rtl,qf,yes,True
320,bvsle_bvnot,ltr,combined,yes,True
321,bvsle_bvnot,ltr,full,yes,False
322,bvsle_bvnot,ltr,partial,yes,False
323,bvsle_bvnot,ltr,qf,yes,True
324,bvsle_bvnot,rtl,combined,yes,True
325,bvsle_bvnot,rtl,full,yes,False
326,bvsle_bvnot,rtl,partial,yes,False
327,bvsle_bvnot,rtl,qf,yes,True
328,bvsle_bvor,ltr,combined,yes,True
329,bvsle_bvor,ltr,full,no,False
330,bvsle_bvor,ltr,partial,yes,False
331,bvsle_bvor,ltr,qf,no,True
332,bvsle_bvor,rtl,combined,no,True
333,bvsle_bvor,rtl,full,no,False
334,bvsle_bvor,rtl,partial,no,False
335,bvsle_bvor,rtl,qf,no,True
336,bvsle_bvshl0,ltr,combined,no,True
337,bvsle_bvshl0,ltr,full,no,False
338,bvsle_bvshl0,ltr,partial,no,False
339,bvsle_bvshl0,ltr,qf,no,True
340,bvsle_bvshl0,rtl,combined,yes,True
341,bvsle_bvshl0,rtl,full,no,False
342,bvsle_bvshl0,rtl,partial,no,False
343,bvsle_bvshl0,rtl,qf,no,True
344,bvsle_bvshl1,ltr,combined,no,True
345,bvsle_bvshl1,ltr,full,no,False
346,bvsle_bvshl1,ltr,partial,no,False
347,bvsle_bvshl1,ltr,qf,no,True
348,bvsle_bvshl1,rtl,combined,yes,True
349,bvsle_bvshl1,rtl,full,no,False
350,bvsle_bvshl1,rtl,partial,no,False
351,bvsle_bvshl1,rtl,qf,no,True
352,bvsle_bvudiv0,ltr,combined,yes,True
353,bvsle_bvudiv0,ltr,full,yes,False
354,bvsle_bvudiv0,ltr,partial,no,False
355,bvsle_bvudiv0,ltr,qf,no,True
356,bvsle_bvudiv0,rtl,combined,yes,True
357,bvsle_bvudiv0,rtl,full,yes,False
358,bvsle_bvudiv0,rtl,partial,no,False
359,bvsle_bvudiv0,rtl,qf,no,True
360,bvsle_bvudiv1,ltr,combined,yes,True
361,bvsle_bvudiv1,ltr,full,yes,False
362,bvsle_bvudiv1,ltr,partial,yes,False
363,bvsle_bvudiv1,ltr,qf,yes,True
364,bvsle_bvudiv1,rtl,combined,yes,True
365,bvsle_bvudiv1,rtl,full,yes,False
366,bvsle_bvudiv1,rtl,partial,no,False
367,bvsle_bvudiv1,rtl,qf,no,True
368,bvsle_bvurem0,ltr,combined,no,True
