encoding,config,ic_name,direction,proved
ahmed,cvc4,bvslt_bvor,rtl,no
ahmed,cvc4,bvslt_bvshl0,ltr,yes
ahmed,cvc4,bvslt_bvshl0,rtl,no
ahmed,cvc4,bvslt_bvshl1,ltr,no
ahmed,cvc4,bvslt_bvshl1,rtl,no
ahmed,cvc4,bvslt_bvudiv0,ltr,no
ahmed,cvc4,bvslt_bvudiv0,rtl,no
ahmed,cvc4,bvslt_bvudiv1,ltr,yes
ahmed,cvc4,bvslt_bvudiv1,rtl,no
ahmed,cvc4,bvslt_bvurem0,ltr,no
ahmed,cvc4,bvslt_bvurem0,rtl,no
ahmed,cvc4,bvslt_bvurem1,ltr,yes
ahmed,cvc4,bvslt_bvurem1,rtl,yes
ahmed,cvc4,bvuge_bvadd,ltr,yes
ahmed,cvc4,bvuge_bvadd,rtl,yes
ahmed,cvc4,bvuge_bvand,ltr,yes
ahmed,cvc4,bvuge_bvand,rtl,yes
ahmed,cvc4,bvuge_bvashr0,ltr,yes
ahmed,cvc4,bvuge_bvashr0,rtl,yes
ahmed,cvc4,bvuge_bvashr1,ltr,yes
ahmed,cvc4,bvuge_bvashr1,rtl,yes
ahmed,cvc4,bvuge_bvlshr0,ltr,yes
ahmed,cvc4,bvuge_bvlshr0,rtl,no
ahmed,cvc4,bvuge_bvlshr1,ltr,yes
ahmed,cvc4,bvuge_bvlshr1,rtl,yes
ahmed,cvc4,bvuge_bvmul,ltr,no
ahmed,cvc4,bvuge_bvmul,rtl,no
ahmed,cvc4,bvuge_bvneg,ltr,yes
ahmed,cvc4,bvuge_bvneg,rtl,yes
ahmed,cvc4,bvuge_bvnot,ltr,yes
ahmed,cvc4,bvuge_bvnot,rtl,yes
ahmed,cvc4,bvuge_bvor,ltr,yes
ahmed,cvc4,bvuge_bvor,rtl,yes
ahmed,cvc4,bvuge_bvshl0,ltr,yes
ahmed,cvc4,bvuge_bvshl0,rtl,no
ahmed,cvc4,bvuge_bvshl1,ltr,no
ahmed,cvc4,bvuge_bvshl1,rtl,no
ahmed,cvc4,bvuge_bvudiv0,ltr,no
ahmed,cvc4,bvuge_bvudiv0,rtl,no
ahmed,cvc4,bvuge_bvudiv1,ltr,yes
ahmed,cvc4,bvuge_bvudiv1,rtl,yes
ahmed,cvc4,bvuge_bvurem0,ltr,no
ahmed,cvc4,bvuge_bvurem0,rtl,yes
ahmed,cvc4,bvuge_bvurem1,ltr,no
ahmed,cvc4,bvuge_bvurem1,rtl,no
ahmed,cvc4,bvugt_bvadd,ltr,yes
ahmed,cvc4,bvugt_bvadd,rtl,yes
ahmed,cvc4,bvugt_bvand,ltr,yes
ahmed,cvc4,bvugt_bvand,rtl,yes
ahmed,cvc4,bvugt_bvashr0,ltr,yes
ahmed,cvc4,bvugt_bvashr0,rtl,yes
ahmed,cvc4,bvugt_bvashr1,ltr,yes
ahmed,cvc4,bvugt_bvashr1,rtl,yes
ahmed,cvc4,bvugt_bvlshr0,ltr,yes
ahmed,cvc4,bvugt_bvlshr0,rtl,no
ahmed,cvc4,bvugt_bvlshr1,ltr,yes
ahmed,cvc4,bvugt_bvlshr1,rtl,yes
ahmed,cvc4,bvugt_bvmul,ltr,no
ahmed,cvc4,bvugt_bvmul,rtl,no
ahmed,cvc4,bvugt_bvneg,ltr,yes
ahmed,cvc4,bvugt_bvneg,rtl,yes
ahmed,cvc4,bvugt_bvnot,ltr,yes
ahmed,cvc4,bvugt_bvnot,rtl,yes
ahmed,cvc4,bvugt_bvor,ltr,yes
ahmed,cvc4,bvugt_bvor,rtl,yes
ahmed,cvc4,bvugt_bvshl0,ltr,yes
ahmed,cvc4,bvugt_bvshl0,rtl,no
ahmed,cvc4,bvugt_bvshl1,ltr,no
ahmed,cvc4,bvugt_bvshl1,rtl,yes
ahmed,cvc4,bvugt_bvudiv0,ltr,yes
ahmed,cvc4,bvugt_bvudiv0,rtl,no
ahmed,cvc4,bvugt_bvudiv1,ltr,yes
ahmed,cvc4,bvugt_bvudiv1,rtl,yes
ahmed,cvc4,bvugt_bvurem0,ltr,yes
ahmed,cvc4,bvugt_bvurem0,rtl,yes
ahmed,cvc4,bvugt_bvurem1,ltr,yes
ahmed,cvc4,bvugt_bvurem1,rtl,no
ahmed,cvc4,bvule_bvadd,ltr,yes
ahmed,cvc4,bvule_bvadd,rtl,yes
ahmed,cvc4,bvule_bvand,ltr,yes
ahmed,cvc4,bvule_bvand,rtl,yes
ahmed,cvc4,bvule_bvashr0,ltr,yes
ahmed,cvc4,bvule_bvashr0,rtl,yes
ahmed,cvc4,bvule_bvashr1,ltr,no
ahmed,cvc4,bvule_bvashr1,rtl,yes
ahmed,cvc4,bvule_bvlshr0,ltr,yes
ahmed,cvc4,bvule_bvlshr0,rtl,yes
ahmed,cvc4,bvule_bvlshr1,ltr,yes
ahmed,cvc4,bvule_bvlshr1,rtl,yes
ahmed,cvc4,bvule_bvmul,ltr,yes
ahmed,cvc4,bvule_bvmul,rtl,yes
ahmed,cvc4,bvule_bvneg,ltr,yes
ahmed,cvc4,bvule_bvneg,rtl,yes
ahmed,cvc4,bvule_bvnot,ltr,yes
ahmed,cvc4,bvule_bvnot,rtl,yes
ahmed,cvc4,bvule_bvor,ltr,yes
ahmed,cvc4,bvule_bvor,rtl,yes
ahmed,cvc4,bvule_bvshl0,ltr,yes
