,encoding,config,ic_name,direction,cond_inv,proved
94,ahmed,cvc4,bvsle_bvashr0,ltr,inv_g,yes
95,ahmed,cvc4,bvsle_bvashr0,ltr,no_inv,no
96,ahmed,cvc4,bvsle_bvashr0,rtl,NA,no
97,ahmed,cvc4,bvsle_bvashr1,ltr,inv_d2,yes
98,ahmed,cvc4,bvsle_bvashr1,ltr,inv_g,yes
99,ahmed,cvc4,bvsle_bvashr1,ltr,no_inv,no
100,ahmed,cvc4,bvsle_bvashr1,rtl,NA,no
101,ahmed,cvc4,bvsle_bvlshr0,ltr,inv_g,yes
102,ahmed,cvc4,bvsle_bvlshr0,ltr,no_inv,no
103,ahmed,cvc4,bvsle_bvlshr0,rtl,NA,no
104,ahmed,cvc4,bvsle_bvlshr1,ltr,inv_d2,yes
105,ahmed,cvc4,bvsle_bvlshr1,ltr,inv_g,yes
106,ahmed,cvc4,bvsle_bvlshr1,ltr,no_inv,yes
107,ahmed,cvc4,bvsle_bvlshr1,rtl,NA,no
108,ahmed,cvc4,bvsle_bvmul,ltr,inv_g,no
109,ahmed,cvc4,bvsle_bvmul,ltr,no_inv,no
110,ahmed,cvc4,bvsle_bvmul,rtl,NA,yes
111,ahmed,cvc4,bvsle_bvneg,ltr,inv_g,yes
112,ahmed,cvc4,bvsle_bvneg,ltr,no_inv,no
113,ahmed,cvc4,bvsle_bvneg,rtl,NA,yes
114,ahmed,cvc4,bvsle_bvnot,ltr,inv_g,yes
115,ahmed,cvc4,bvsle_bvnot,ltr,no_inv,no
116,ahmed,cvc4,bvsle_bvnot,rtl,NA,yes
117,ahmed,cvc4,bvsle_bvor,ltr,inv_g,no
118,ahmed,cvc4,bvsle_bvor,ltr,no_inv,no
119,ahmed,cvc4,bvsle_bvor,rtl,NA,no
120,ahmed,cvc4,bvsle_bvshl0,ltr,inv_g,no
121,ahmed,cvc4,bvsle_bvshl0,ltr,no_inv,no
122,ahmed,cvc4,bvsle_bvshl0,rtl,NA,no
123,ahmed,cvc4,bvsle_bvshl1,ltr,no_inv,no
124,ahmed,cvc4,bvsle_bvshl1,rtl,NA,no
125,ahmed,cvc4,bvsle_bvudiv0,ltr,inv_g,yes
126,ahmed,cvc4,bvsle_bvudiv0,ltr,no_inv,no
127,ahmed,cvc4,bvsle_bvudiv0,rtl,NA,yes
128,ahmed,cvc4,bvsle_bvudiv1,ltr,inv_g,yes
129,ahmed,cvc4,bvsle_bvudiv1,ltr,no_inv,no
130,ahmed,cvc4,bvsle_bvudiv1,rtl,NA,no
131,ahmed,cvc4,bvsle_bvurem0,ltr,inv_g,no
132,ahmed,cvc4,bvsle_bvurem0,ltr,no_inv,no
133,ahmed,cvc4,bvsle_bvurem0,rtl,NA,no
134,ahmed,cvc4,bvsle_bvurem1,ltr,inv_g,yes
135,ahmed,cvc4,bvsle_bvurem1,ltr,no_inv,no
136,ahmed,cvc4,bvsle_bvurem1,rtl,NA,yes
137,ahmed,cvc4,bvslt_bvadd,ltr,inv_g,yes
138,ahmed,cvc4,bvslt_bvadd,ltr,no_inv,no
139,ahmed,cvc4,bvslt_bvadd,rtl,NA,yes
140,ahmed,cvc4,bvslt_bvand,ltr,inv_g,no
141,ahmed,cvc4,bvslt_bvand,ltr,no_inv,yes
142,ahmed,cvc4,bvslt_bvand,rtl,NA,no
143,ahmed,cvc4,bvslt_bvashr0,ltr,inv_g,yes
144,ahmed,cvc4,bvslt_bvashr0,ltr,no_inv,no
145,ahmed,cvc4,bvslt_bvashr0,rtl,NA,no
146,ahmed,cvc4,bvslt_bvashr1,ltr,inv_d2,yes
147,ahmed,cvc4,bvslt_bvashr1,ltr,inv_g,yes
148,ahmed,cvc4,bvslt_bvashr1,ltr,no_inv,no
149,ahmed,cvc4,bvslt_bvashr1,rtl,NA,yes
150,ahmed,cvc4,bvslt_bvlshr0,ltr,inv_g,no
151,ahmed,cvc4,bvslt_bvlshr0,ltr,no_inv,no
152,ahmed,cvc4,bvslt_bvlshr0,rtl,NA,no
153,ahmed,cvc4,bvslt_bvlshr1,ltr,inv_d2,yes
154,ahmed,cvc4,bvslt_bvlshr1,ltr,inv_g,yes
155,ahmed,cvc4,bvslt_bvlshr1,ltr,no_inv,no
156,ahmed,cvc4,bvslt_bvlshr1,rtl,NA,yes
157,ahmed,cvc4,bvslt_bvmul,ltr,inv_g,no
158,ahmed,cvc4,bvslt_bvmul,ltr,no_inv,no
159,ahmed,cvc4,bvslt_bvmul,rtl,NA,no
160,ahmed,cvc4,bvslt_bvneg,ltr,inv_g,yes
161,ahmed,cvc4,bvslt_bvneg,ltr,no_inv,no
162,ahmed,cvc4,bvslt_bvneg,rtl,NA,yes
163,ahmed,cvc4,bvslt_bvnot,ltr,inv_g,yes
164,ahmed,cvc4,bvslt_bvnot,ltr,no_inv,no
165,ahmed,cvc4,bvslt_bvnot,rtl,NA,yes
166,ahmed,cvc4,bvslt_bvor,ltr,inv_g,no
167,ahmed,cvc4,bvslt_bvor,ltr,no_inv,yes
168,ahmed,cvc4,bvslt_bvor,rtl,NA,no
169,ahmed,cvc4,bvslt_bvshl0,ltr,inv_g,yes
170,ahmed,cvc4,bvslt_bvshl0,ltr,no_inv,no
171,ahmed,cvc4,bvslt_bvshl0,rtl,NA,no
172,ahmed,cvc4,bvslt_bvshl1,ltr,no_inv,no
173,ahmed,cvc4,bvslt_bvshl1,rtl,NA,no
174,ahmed,cvc4,bvslt_bvudiv0,ltr,inv_g,no
175,ahmed,cvc4,bvslt_bvudiv0,ltr,no_inv,no
176,ahmed,cvc4,bvslt_bvudiv0,rtl,NA,no
177,ahmed,cvc4,bvslt_bvudiv1,ltr,inv_g,yes
178,ahmed,cvc4,bvslt_bvudiv1,ltr,no_inv,no
179,ahmed,cvc4,bvslt_bvudiv1,rtl,NA,no
180,ahmed,cvc4,bvslt_bvurem0,ltr,no_inv,no
181,ahmed,cvc4,bvslt_bvurem0,rtl,NA,no
182,ahmed,cvc4,bvslt_bvurem1,ltr,inv_g,yes
183,ahmed,cvc4,bvslt_bvurem1,ltr,no_inv,no
184,ahmed,cvc4,bvslt_bvurem1,rtl,NA,yes
185,ahmed,cvc4,bvuge_bvadd,ltr,inv_d2,no
186,ahmed,cvc4,bvuge_bvadd,ltr,inv_g,yes
187,ahmed,cvc4,bvuge_bvadd,ltr,no_inv,no
188,ahmed,cvc4,bvuge_bvadd,rtl,NA,yes
189,ahmed,cvc4,bvuge_bvand,ltr,inv_g,yes
190,ahmed,cvc4,bvuge_bvand,ltr,no_inv,yes
191,ahmed,cvc4,bvuge_bvand,rtl,NA,yes
192,ahmed,cvc4,bvuge_bvashr0,ltr,inv_d2,yes
193,ahmed,cvc4,bvuge_bvashr0,ltr,inv_g,yes
194,ahmed,cvc4,bvuge_bvashr0,ltr,no_inv,no
195,ahmed,cvc4,bvuge_bvashr0,rtl,NA,yes
196,ahmed,cvc4,bvuge_bvashr1,ltr,inv_g,yes
197,ahmed,cvc4,bvuge_bvashr1,ltr,no_inv,no
198,ahmed,cvc4,bvuge_bvashr1,rtl,NA,yes
199,ahmed,cvc4,bvuge_bvlshr0,ltr,inv_d2,yes
200,ahmed,cvc4,bvuge_bvlshr0,ltr,inv_g,no
201,ahmed,cvc4,bvuge_bvlshr0,ltr,no_inv,no
202,ahmed,cvc4,bvuge_bvlshr0,rtl,NA,no
203,ahmed,cvc4,bvuge_bvlshr1,ltr,inv_g,yes
204,ahmed,cvc4,bvuge_bvlshr1,ltr,no_inv,yes
205,ahmed,cvc4,bvuge_bvlshr1,rtl,NA,yes
206,ahmed,cvc4,bvuge_bvmul,ltr,no_inv,no
207,ahmed,cvc4,bvuge_bvmul,rtl,NA,no
208,ahmed,cvc4,bvuge_bvneg,ltr,inv_g,yes
209,ahmed,cvc4,bvuge_bvneg,ltr,no_inv,no
210,ahmed,cvc4,bvuge_bvneg,rtl,NA,yes
211,ahmed,cvc4,bvuge_bvnot,ltr,inv_g,yes
212,ahmed,cvc4,bvuge_bvnot,ltr,no_inv,yes
213,ahmed,cvc4,bvuge_bvnot,rtl,NA,yes
214,ahmed,cvc4,bvuge_bvor,ltr,inv_g,yes
215,ahmed,cvc4,bvuge_bvor,ltr,no_inv,yes
216,ahmed,cvc4,bvuge_bvor,rtl,NA,yes
217,ahmed,cvc4,bvuge_bvshl0,ltr,inv_d2,no
218,ahmed,cvc4,bvuge_bvshl0,ltr,inv_g,yes
219,ahmed,cvc4,bvuge_bvshl0,ltr,no_inv,no
220,ahmed,cvc4,bvuge_bvshl0,rtl,NA,no
221,ahmed,cvc4,bvuge_bvshl1,ltr,no_inv,no
