encoding,fully-proved,nothing-proved,rtl-only,ltr-only,ltr-inv,ltr-no-inv
combined,87,18,34,21,94,69
full,61,57,23,19,70,49
partial,64,44,27,25,72,70
qf,39,75,23,23,49,52
total,92,16,33,19,94,85
