encoding,ltr-inv-a,ltr-inv-g,ltr-inv-r,ltr-no-inv,rtl,ltr-inv,ltr,ltr-inv-only,ltr-no-inv-only,ltr-only,rtl-only,fully-proved,nothing-proved,rtl-non-trivial,rtl-complex
combined,89,91,82,16,118,94,94,78,0,18,42,76,24,86,118~(86)
full,74,76,67,9,90,78,78,69,0,16,28,62,54,58,90~(58)
partial,88,89,81,16,122,93,93,77,0,16,45,77,22,90,122~(90)
qf,75,77,70,11,101,79,79,68,0,17,39,62,42,69,101~(69)
rec,74,76,67,9,82,78,78,69,0,22,26,56,56,50,82~(50)
total,89,91,82,18,125,94,94,76,0,16,47,78,19,93,125~(93)
