,ic_name,direction,encoding,cond_inv,proved,direction_cond,ic
1352,bvule_bvshl1,rtl,qf,NA,yes,rtl,true
1397,bvule_bvurem0,rtl,qf,NA,yes,rtl,true
1412,bvule_bvurem1,rtl,qf,NA,yes,rtl,true
1427,bvult_bvadd,rtl,qf,NA,yes,rtl,(distinct t (_ bv0 4))
1457,bvult_bvashr0,rtl,qf,NA,yes,rtl,(distinct t (_ bv0 4))
1469,bvult_bvashr1,rtl,qf,NA,yes,rtl,(and (not (and (not (bvult s t)) (bvslt s (_ bv0 4)))) (not (= t (_ bv0 4))))
1484,bvult_bvlshr0,rtl,qf,NA,yes,rtl,(distinct t (_ bv0 4))
1499,bvult_bvlshr1,rtl,qf,NA,yes,rtl,(distinct t (_ bv0 4))
1514,bvult_bvmul,rtl,qf,NA,yes,rtl,(distinct t (_ bv0 4))
1529,bvult_bvneg,rtl,qf,NA,yes,rtl,(distinct t (_ bv0 4))
1544,bvult_bvnot,rtl,qf,NA,yes,rtl,(distinct t (_ bv0 4))
1574,bvult_bvshl0,rtl,qf,NA,yes,rtl,(distinct t (_ bv0 4))
1589,bvult_bvshl1,rtl,qf,NA,yes,rtl,(distinct t (_ bv0 4))
1604,bvult_bvudiv0,rtl,qf,NA,yes,rtl,(and (bvult (_ bv0 4) s) (bvult (_ bv0 4) t))
1634,bvult_bvurem0,rtl,qf,NA,yes,rtl,(distinct t (_ bv0 4))
1649,bvult_bvurem1,rtl,qf,NA,yes,rtl,(distinct t (_ bv0 4))
1661,eq_bvadd,rtl,qf,NA,yes,rtl,true
1697,eq_bvlshr0,rtl,qf,NA,yes,rtl,(= (bvlshr (bvshl t s) s) t)
1724,eq_bvneg,rtl,qf,NA,yes,rtl,true
1739,eq_bvnot,rtl,qf,NA,yes,rtl,true
1778,eq_bvudiv0,rtl,qf,NA,yes,rtl,(= (udivtotal (bvmul s t) s) t)
1784,eq_bvudiv1,rtl,qf,NA,yes,rtl,(= (udivtotal s (udivtotal s t)) t)
1799,eq_bvurem0,rtl,qf,NA,yes,rtl,(not (bvult (bvnot (bvneg s)) t))
1826,ne_bvadd,rtl,qf,NA,yes,rtl,true
1841,ne_bvand,rtl,qf,NA,yes,rtl,(or (distinct s (_ bv0 4)) (distinct t (_ bv0 4)))
1856,ne_bvashr0,rtl,qf,NA,yes,rtl,true
1868,ne_bvashr1,rtl,qf,NA,yes,rtl,(and (or (not (= t (_ bv0 4))) (not (= s (_ bv0 4)))) (or (not (= t (bvnot (_ bv0 4)))) (not (= s (bvnot (_ bv0 4))))))
1898,ne_bvlshr1,rtl,qf,NA,yes,rtl,(or (distinct s (_ bv0 4)) (distinct t (_ bv0 4)))
1907,ne_bvmul,rtl,qf,NA,yes,rtl,(or (distinct t (_ bv0 4)) (distinct s (_ bv0 4)))
1922,ne_bvneg,rtl,qf,NA,yes,rtl,true
1937,ne_bvnot,rtl,qf,NA,yes,rtl,true
1952,ne_bvor,rtl,qf,NA,yes,rtl,(or (distinct s (bvnot (_ bv0 4))) (distinct t (bvnot (_ bv0 4))))
1976,ne_bvshl1,rtl,qf,NA,yes,rtl,(or (distinct s (_ bv0 4)) (distinct t (_ bv0 4)))
1991,ne_bvudiv0,rtl,qf,NA,yes,rtl,(or (distinct s (_ bv0 4)) (distinct t (bvnot (_ bv0 4))))
2003,ne_bvudiv1,rtl,qf,NA,yes,rtl,true
2018,ne_bvurem0,rtl,qf,NA,yes,rtl,(or (distinct s (_ bv1 4)) (distinct t (_ bv0 4)))
2033,ne_bvurem1,rtl,qf,NA,yes,rtl,(or (distinct s (_ bv0 4)) (distinct t (_ bv0 4)))
