syntax,ic_name
r,bvsle_bvnot
r,bvsle_bvor
r,bvsle_bvudiv0
r,bvsle_bvurem0
r,bvsle_bvurem1
r,bvslt_bvadd
r,bvslt_bvand
r,bvslt_bvashr0
r,bvslt_bvashr1
r,bvslt_bvlshr0
r,bvslt_bvlshr1
r,bvslt_bvneg
r,bvslt_bvnot
r,bvslt_bvor
r,bvslt_bvudiv0
r,bvslt_bvurem0
r,bvslt_bvurem1
r,bvuge_bvadd
r,bvuge_bvand
r,bvuge_bvashr0
r,bvuge_bvashr1
r,bvuge_bvlshr0
r,bvuge_bvlshr1
r,bvuge_bvneg
r,bvuge_bvnot
r,bvuge_bvor
r,bvuge_bvshl0
r,bvuge_bvudiv1
r,bvuge_bvurem0
r,bvuge_bvurem1
r,bvugt_bvadd
r,bvugt_bvand
r,bvugt_bvashr0
r,bvugt_bvashr1
r,bvugt_bvlshr0
r,bvugt_bvlshr1
r,bvugt_bvneg
r,bvugt_bvnot
r,bvugt_bvor
r,bvugt_bvshl0
r,bvugt_bvudiv0
r,bvugt_bvudiv1
r,bvugt_bvurem0
r,bvugt_bvurem1
r,bvule_bvadd
r,bvule_bvand
r,bvule_bvashr0
r,bvule_bvashr1
r,bvule_bvlshr0
r,bvule_bvlshr1
r,bvule_bvmul
r,bvule_bvneg
r,bvule_bvnot
r,bvule_bvor
r,bvule_bvshl0
r,bvule_bvshl1
r,bvule_bvudiv0
r,bvule_bvudiv1
r,bvule_bvurem0
r,bvule_bvurem1
r,bvult_bvadd
r,bvult_bvand
r,bvult_bvashr0
r,bvult_bvashr1
r,bvult_bvlshr0
r,bvult_bvlshr1
r,bvult_bvmul
r,bvult_bvneg
r,bvult_bvnot
r,bvult_bvor
r,bvult_bvshl0
r,bvult_bvshl1
r,bvult_bvudiv0
r,bvult_bvudiv1
r,bvult_bvurem0
r,bvult_bvurem1
r,eq_bvand
r,eq_bvneg
r,eq_bvnot
r,eq_bvor
r,eq_bvurem0
r,ne_bvadd
r,ne_bvand
r,ne_bvashr0
r,ne_bvashr1
r,ne_bvlshr0
r,ne_bvlshr1
r,ne_bvneg
r,ne_bvnot
r,ne_bvor
r,ne_bvshl1
r,ne_bvudiv0
r,ne_bvudiv1
r,ne_bvurem0
r,ne_bvurem1
