BENCHMARK;STAT;RES;EXIT;CPU[s];SPACE[MB]
cvc4_default/syntax_a-verify_inv_bvsge_bvlshr0_4bit28.smt2;ok;10;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvlshr0_4bit29.smt2;ok;10;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvlshr0_4bit30.smt2;ok;10;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvlshr0_4bit31.smt2;ok;10;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvlshr0_4bit4.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvlshr0_4bit5.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvlshr0_4bit6.smt2;ok;10;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvlshr0_4bit7.smt2;ok;10;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvlshr0_4bit8.smt2;ok;10;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvlshr0_4bit9.smt2;ok;10;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit10.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit11.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit12.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit13.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit14.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit15.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit16.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit17.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit18.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit19.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit20.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit21.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit22.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit23.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit24.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit25.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit26.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit27.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit28.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit29.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit30.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit31.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit4.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit5.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit6.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit7.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit8.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvneg_4bit9.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit10.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit11.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit12.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit13.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit14.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit15.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit16.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit17.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit18.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit19.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit20.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit21.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit22.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit23.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit24.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit25.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit26.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit27.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit28.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit29.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit30.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit31.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit4.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit5.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit6.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit7.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit8.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvnot_4bit9.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit10.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit11.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit12.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit13.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit14.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit15.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit16.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit17.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit18.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit19.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit20.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit21.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit22.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit23.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit24.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit25.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit26.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit27.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit28.smt2;ok;20;0;0.0;0.0
