DIRECTORY;cluster_results
BENCHMARK;STAT;RES;EXIT;CPU[s];SPACE[MB]
cvc4_default/syntax_a-find_inv_bvslt_bvudiv1_4bit.sy;mo;-;3;1365.97;4000.3
cvc4_default/syntax_a-find_inv_bvslt_bvurem0_4bit.sy;mo;-;3;914.79;4000.3
cvc4_default/syntax_a-find_inv_bvslt_bvurem1_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_a-find_inv_bvuge_bvadd_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_a-find_inv_bvuge_bvand_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvuge_bvashr0_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvuge_bvashr1_4bit.sy;mo;-;3;833.18;4000.0
cvc4_default/syntax_a-find_inv_bvuge_bvlshr0_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvuge_bvlshr1_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvuge_bvmul_4bit.sy;mo;-;3;940.96;4000.0
cvc4_default/syntax_a-find_inv_bvuge_bvneg_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvuge_bvnot_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvuge_bvor_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvuge_bvshl0_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvuge_bvshl1_4bit.sy;mo;-;3;957.59;4000.3
cvc4_default/syntax_a-find_inv_bvuge_bvudiv0_4bit.sy;ok;20;0;0.02;20.4
cvc4_default/syntax_a-find_inv_bvuge_bvudiv1_4bit.sy;ok;20;0;0.01;0.6
cvc4_default/syntax_a-find_inv_bvuge_bvurem0_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvuge_bvurem1_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvugt_bvadd_4bit.sy;ok;20;0;0.0;0.6
cvc4_default/syntax_a-find_inv_bvugt_bvand_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvugt_bvashr0_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvugt_bvashr1_4bit.sy;mo;-;3;743.35;4000.1
cvc4_default/syntax_a-find_inv_bvugt_bvlshr0_4bit.sy;ok;20;0;0.0;0.0
